a_val,lambda_L=32,SEM_L=32,lambda_L=64,SEM_L=64,lambda_L=128,SEM_L=128,lambda_L=256,SEM_L=256,lambda_L=512,SEM_L=512
0.6,-0.5819848962917527,0.0033849123436550817,-0.5369048235863587,0.0015874040396148166,-0.511407544573434,0.0008995487783750837,-0.49883188181674154,0.0005642961566559827,-0.49111516560882545,0.000400507242212067
0.61,-0.5670948514636859,0.0033558490366169483,-0.5155077777598566,0.0016055465899071585,-0.49237009759433537,0.0008882189699507671,-0.4817460616908679,0.0005909544521032259,-0.47413793915680363,0.00040954423105113197
0.62,-0.5435348692293582,0.003399662233757608,-0.49479711884424465,0.0016766489199123297,-0.476779976088788,0.0008797949826353118,-0.46517689732782397,0.0005879717315657426,-0.45710448536975035,0.00040574605217637337
0.63,-0.5084916124319303,0.0037226994705939925,-0.4783901897547393,0.001618980795115149,-0.45968675392627295,0.0009113251472039957,-0.44802438381225546,0.0005803958660554743,-0.4409587073399633,0.0004057108748413675
0.64,-0.4793147886204131,0.004321776848552738,-0.4585679380364588,0.0016315865943741527,-0.4416624665000163,0.0008982373353858651,-0.4314959155626648,0.0006096114300218163,-0.42431347560533567,0.0004188297709008389
0.65,-0.44018025498133806,0.005157323583627376,-0.4482325178225267,0.00171510980505589,-0.4255547249094477,0.0009189683090034496,-0.41431933896758694,0.0005857679501342494,-0.40895906135469057,0.0004065187747458386
0.66,-0.37867512611461274,0.006423730500125511,-0.42038588588319314,0.001953203814226329,-0.4082965333667602,0.0009172347103625249,-0.3997049805067932,0.0005868240515916805,-0.3937704617732622,0.00041069972258378186
0.67,-0.30334554221107307,0.007467755812883609,-0.3994612149075402,0.0022420984309059313,-0.3914256894885855,0.0009563487793752157,-0.3828883136244331,0.0005882562231531794,-0.37714790337188114,0.0003972810303965669
0.68,-0.21872164565532215,0.008873333554798727,-0.36875893238544766,0.003235192732068663,-0.37377797261733764,0.00109813341424137,-0.36709506774884026,0.0005965883128795785,-0.36211402166958684,0.00040760295887407044
0.69,-0.10675577252939845,0.009794609621583985,-0.31686217176390075,0.005197028077883043,-0.3582252594074435,0.0013085739799368844,-0.3525868395733626,0.0006059719597742748,-0.34625741000815546,0.0004272859678197735
0.7,-0.011605317243118321,0.009928578429680224,-0.23489421138558697,0.007343093504339187,-0.3311681293416908,0.0025455950813645374,-0.3362432565932185,0.0005876084160555182,-0.332859614799144,0.0004236772296734824
0.71,0.08817538620484901,0.009910862875970636,-0.11684176276594986,0.009117598360530355,-0.2739388973208704,0.004919915721039349,-0.31860211465511606,0.0012979195348383791,-0.3179596284598231,0.00040504383026985206
0.72,0.19793772602894544,0.008999602283284185,0.010225218400991129,0.009463083821873415,-0.16550844137328877,0.007677455469555164,-0.2782683847848112,0.0035701543872612993,-0.3023925270636402,0.0005203492952344244
0.73,0.29581683940526743,0.008117918753998223,0.12606265041107398,0.009031173915017355,0.019150435395025665,0.009288302332434157,-0.15158951431427586,0.007657078930921187,-0.2633987408165827,0.003569046233183053
0.74,0.3384135663743931,0.007060108588216872,0.2531666947346942,0.007599450240700588,0.16701420362278752,0.008443101638958688,0.06667875331373328,0.009018457113515494,-0.055705078135503454,0.008661372541357097
0.75,0.3834688543546133,0.005996850343226947,0.3314854899467321,0.005804551678670512,0.297460869133399,0.005956400040697145,0.2717870754204218,0.005890979062852589,0.219876473223556,0.00712843898528099
0.76,0.4128765711079035,0.005176054534725374,0.37842724513053594,0.004315746240975509,0.35541928829998265,0.003935805675236318,0.34349935542525667,0.0033349884801628306,0.34574448755093734,0.002862161278208765
0.77,0.4420596346487977,0.004720579098505117,0.4035152780950047,0.0034052573342656144,0.38286281060875177,0.002642657253151136,0.3754525377416292,0.0019157992139417915,0.3723133423773881,0.0012381007548221733
0.78,0.4586372679609834,0.004390345933921235,0.42186965184841174,0.0028589063334950966,0.39956319772362053,0.001905882750754741,0.3929630013206554,0.0012984901056491195,0.38919787314166676,0.0009137017736106834
0.79,0.48067671938911727,0.004179455805174676,0.43365203520453416,0.002762305445286293,0.41110026407334915,0.0018755221609118456,0.40267535405329896,0.0012294815475633605,0.39946166549855755,0.0007791384080943446
0.8,0.48632728048625373,0.0038165461661696636,0.4416171504426858,0.0026788079374607944,0.4209319976089481,0.0016802801477086816,0.41021550832045317,0.0011436286246818625,0.4068266702153879,0.0007631176868282941
0.81,0.492451985267073,0.0038374341797617977,0.4522888153920254,0.002410099351025417,0.42929729017124113,0.0015328827989876627,0.41661232732105213,0.0010837728456494777,0.41304264244192435,0.0007242176721756643
0.82,0.5030190350602405,0.0035968474513917966,0.4568755859081643,0.002283916727565022,0.4335410177885374,0.001565653286316249,0.4245696121882601,0.0010033778524860318,0.41748801303680405,0.0007153477708979905
0.83,0.5114675654539402,0.0035347919846986297,0.46941045158075156,0.002271829830057006,0.4388512283401385,0.0014396849936526696,0.4295744256757939,0.0010214636518916036,0.4241839861693838,0.0006174143766611082
0.84,0.5156143152048601,0.003474453475510494,0.4670458482699804,0.0021702330037655674,0.44683959707781845,0.0014614886033638092,0.4314673966900967,0.0009805794179496936,0.427731636718514,0.0006459643676510659
0.85,0.5222324283863837,0.003497827525516723,0.4723561175017191,0.0022227987260051586,0.44840795472743683,0.0013888705578690528,0.43586838711932496,0.0009440249492588043,0.43220119914655747,0.0006226678717818258
